Timestamp (ms since Unix Epoch),X,Y,Z,Activity
1565081463310,0.480408,0.103271,0.898743,0
1565081463350,0.477722,0.10376,0.905334,0
1565081463391,0.467102,0.0997314,0.907715,0
1565081463431,0.467102,0.0950928,0.909912,0
1565081463472,0.460815,0.0966187,0.908691,0
1565081463511,0.454712,0.0927734,0.921143,0
1565081463552,0.456604,0.0773315,0.929138,0
1565081463592,0.446289,0.0650024,0.91571,0
1565081463633,0.439209,0.0515137,0.913208,0
1565081463672,0.437622,0.0444336,0.923523,0
1565081463713,0.433411,0.0597534,0.923767,0
1565081463753,0.430054,0.0548096,0.922302,0
1565081463792,0.425842,0.0356445,0.93457,0
1565081463833,0.426025,0.0296021,0.934937,0
1565081463873,0.432068,0.03302,0.927979,0
1565081463914,0.434753,0.03479,0.934875,0
1565081463954,0.424133,0.0335693,0.944641,0
1565081463995,0.409607,0.0205688,0.945435,0
1565081464034,0.402588,0.00213623,0.947571,0
1565081464075,0.398315,-0.0090332,0.947632,0
1565081464115,0.401367,-0.0152588,0.938354,0
1565081464156,0.410217,-0.0164795,0.938599,0
1565081464195,0.403809,-0.010376,0.942322,0
1565081464236,0.395874,-0.00811768,0.940491,0
1565081464276,0.39563,-0.0133667,0.944336,0
1565081464317,0.394653,-0.0239258,0.954956,0
1565081464356,0.390503,-0.0319824,0.955933,0
1565081464397,0.391418,-0.0351563,0.950562,0
1565081464437,0.390381,-0.0389404,0.951111,0
1565081464476,0.382568,-0.0403442,0.958313,0
1565081464517,0.380554,-0.0353394,0.95752,0
1565081464557,0.390076,-0.034668,0.95752,0
1565081464598,0.379883,-0.0286255,0.962708,0
1565081464638,0.365356,-0.0247803,0.957581,0
1565081464679,0.377869,-0.0290527,0.954041,0
1565081464718,0.382629,-0.0335083,0.955627,0
1565081464759,0.361633,-0.03479,0.947388,0
1565081464799,0.370544,-0.0371704,0.956787,0
1565081464840,0.401184,-0.0499268,0.956726,0
1565081464879,0.400452,-0.0545044,0.941223,0
1565081464920,0.363098,-0.0452881,0.940002,0
1565081464960,0.317932,-0.0278931,0.96698,0
1565081465001,0.291199,-0.0155029,1.00311,0
1565081465040,0.314087,0.00665283,1.01886,0
1565081465081,0.311768,0.00872803,0.997131,0
1565081465121,0.407288,0.0512085,0.972961,0
1565081465162,0.491638,0.0944214,0.952759,0
1565081465202,0.448975,0.12085,0.904785,0
1565081465241,0.411072,0.0608521,0.897827,0
1565081465282,0.43042,-0.0153198,0.880127,0
1565081465322,0.389587,-0.11969,0.858582,0
1565081465363,0.34668,-0.177612,0.866028,0
1565081465402,0.276733,-0.206604,0.980652,0
1565081465443,0.241577,-0.2453,1.02789,0
1565081465483,0.340759,-0.251953,1.005,0
1565081465524,0.496521,-0.14624,0.958435,0
1565081465563,0.532349,-0.0367432,0.772705,0
1565081465604,0.613281,-0.0196533,0.731384,0
1565081465644,0.638916,-0.127563,0.739563,0
1565081465685,0.634705,-0.41864,0.75531,0
1565081465725,0.624023,-0.631226,0.927185,0
1565081465766,0.554016,-0.621643,1.04675,0
1565081465805,0.765808,-0.27771,1.01062,0
1565081465846,0.998291,-0.242493,1.15582,0
1565081465886,1.01044,-0.190063,1.26447,0
1565081465925,0.710815,-0.150269,0.987183,0
1565081465966,0.456787,-0.164917,0.6026,0
1565081466007,0.544067,-0.137756,0.475525,0
1565081466047,0.58606,-0.147583,0.384644,0
1565081466086,0.582092,-0.167358,0.338013,0
1565081466127,0.673706,-0.178406,0.393433,0
1565081466167,0.68219,-0.248962,0.390564,0
1565081466208,0.537598,-0.402527,0.341614,0
1565081466247,0.53125,-0.511047,0.44397,0
1565081466288,0.663147,-0.481628,0.577881,0
1565081466328,0.742859,-0.421875,0.618286,0
1565081466369,0.743042,-0.387268,0.62854,0
1565081466409,0.76123,-0.378967,0.699585,0
1565081466450,0.710754,-0.280334,0.885559,0
1565081466489,0.620422,-0.299316,0.856873,0
1565081466530,0.546509,-0.244934,0.93219,0
1565081466570,0.404358,-0.253723,0.865234,0
1565081466611,0.407227,-0.226318,0.878723,0
1565081466650,0.436523,-0.247131,0.899658,0
1565081466691,0.452209,-0.22345,0.929443,0
1565081466731,0.529419,-0.136047,0.996826,0
1565081466770,0.558716,-0.0997314,1.11914,0
1565081466811,0.518127,-0.114685,1.06934,0
1565081466851,0.382019,-0.128235,0.927307,0
1565081466892,0.331116,-0.124084,0.881104,0
1565081466932,0.299988,-0.13092,0.86554,0
1565081466973,0.297485,-0.108643,0.911255,0
1565081467012,0.269653,-0.0449219,1.03009,0
1565081467053,0.239441,0.0415039,1.1015,0
1565081467093,0.0905762,0.0928345,1.11566,0
1565081467134,-0.0601807,0.055481,1.03809,0
1565081467173,-0.0139771,-0.0212402,0.994446,0
1565081467214,0.0866699,-0.0254517,1.00244,0
1565081467254,0.0667725,0.0057373,1.05719,0
1565081467295,0.0143433,-0.0578003,1.06061,0
1565081467334,0.106506,-0.0802002,1.04089,0
1565081467375,0.185425,-0.015625,0.988586,0
1565081467415,0.222839,0.0170288,0.976013,0
1565081467455,0.248962,-0.00335693,1.0152,0
1565081467496,0.261292,-0.0474854,1.03455,0
1565081467535,0.290649,-0.081543,1.0257,0
1565081467576,0.286011,-0.0878296,0.951843,0
1565081467616,0.330688,-0.0529785,0.890747,0
1565081467657,0.397583,-0.0115356,0.888611,0
1565081467696,0.448608,-0.00341797,0.916748,0
1565081467737,0.474915,-0.0492554,0.888855,0
1565081467777,0.537964,-0.0704346,0.867554,0
1565081467818,0.559021,-0.104187,0.837524,0
1565081467857,0.598633,-0.0946655,0.802307,0
1565081467898,0.649048,-0.0714111,0.77002,0
1565081467938,0.698181,-0.0945435,0.712769,0
1565081467979,0.775146,-0.074585,0.654114,0
1565081468018,0.832214,0.0140381,0.609009,0
1565081468059,0.870117,0.0654297,0.59137,0
1565081468099,0.888428,0.0684204,0.579407,0
1565081468140,0.831482,0.0491943,0.584961,0
1565081468180,0.809326,0.0227051,0.642944,0
1565081468219,0.77002,0.0328979,0.680115,0
1565081468260,0.75116,0.00708008,0.637878,0
1565081468300,0.821838,-0.0497437,0.528137,0
1565081468341,0.858582,-0.0351563,0.47998,0
1565081468380,0.809631,0.0560913,0.508606,0
1565081468421,0.826843,0.1297,0.576172,0
1565081468461,0.842224,0.151855,0.602417,0
1565081468502,0.895142,0.109802,0.580872,0
1565081468541,0.910828,0.0679932,0.562317,0
1565081468582,0.853333,0.0425415,0.566772,0
1565081468622,0.852173,0.0198364,0.582703,0
1565081468663,0.888672,0.0338135,0.562134,0
1565081468703,0.8927,0.114868,0.555481,0
1565081468744,0.863892,0.195251,0.567444,0
1565081468783,0.808899,0.209412,0.598389,0
1565081468824,0.831116,0.143921,0.605774,0
1565081468864,0.892029,0.0809937,0.620605,0
1565081468905,0.889648,0.0917969,0.632202,0
1565081468944,0.863403,0.119995,0.606628,0
1565081468984,0.869812,0.134949,0.575684,0
1565081469025,0.87384,0.143494,0.580444,0
